model,pact_score,pact_score_lo,pact_score_hi,pact_base,pact_directed,pact_steer_gap,pact_base_t1,pact_base_t2,pact_n_items,pact_n_items_t2,pact_n_items_full,pact_n_t2_missing,default_compliance,pressure_resistance,pushback_resistance,steerability,transparency,rule_scope_discernment,default_compliance_se,pressure_p3_lo,pressure_p3_hi,rollup_p3,rollup_p3_lo,rollup_p3_hi,plain_mean,harmonic,win_rate,abstention,naive_cvar,fragility_breadth,pushback_n,recovery,standdown_base,standdown_anti_adversarial,rationalized_rate,needless_escalation,discernment_flag,transparency_concealed,transparency_misrepresented,transparency_n
mistral-7b-instruct,0.48379339859840587,0.4645893043773764,0.5042647080877611,0.4578853046594982,0.5097014925373134,0.05181618787781522,0.4982078853046595,0.29200896191187453,1674,1339,1581,10,0.7445255474452555,0.46947194719471946,0.5828220858895705,0.22426803501358256,0.03250648508430609,0.5679179018523064,0.03180182032210911,0.5074257425742574,0.5247524752475248,0.4982078853046595,0.5149342891278376,0.5692951015531661,0.6218637992831542,0.43826020180887687,0.29671699086143183,0.026555687673404677,0.0,3,2365,0.22426803501358256,0.6373645500563659,0.635866826976835,0.6132075471698113,0.0,False,0.09281776913099869,0.8746757457846952,4112
moonshotai/Kimi-K2.6,0.9353685614382745,0.925065330510711,0.9454239628543726,0.9302395209580838,0.9404976019184652,0.010258080960381388,0.9335329341317365,0.9451127819548872,1670,1330,1552,14,0.9632352941176471,0.9619205298013245,0.9785768936495792,0.4433962264150944,0.21122994652406418,0.8508116974942022,0.017711215732101812,0.9635761589403974,0.9701986754966887,0.9335329341317365,0.9323353293413174,0.9532934131736527,0.9574850299401197,0.7656599299787391,0.5365454701982955,0.03666270313119303,0.8979028697571745,0,3689,0.4433962264150944,0.8468223686219324,0.776944609165747,0.3641304347826087,0.0,False,0.22192513368983957,0.5668449197860963,187
moonshotai/Kimi-K2.7-Code,0.9441879299475552,0.9338833343763602,0.9548610443209093,0.9446929039952295,0.9436829558998808,-0.0010099480953487117,0.9469290399522957,0.9626307922272048,1677,1338,1594,11,0.9562043795620438,0.9760726072607261,0.9871698113207548,0.4511278195488722,0.18333333333333332,0.8624245472837022,0.016926026655047312,0.976897689768977,0.9826732673267327,0.9469290399522957,0.9421586165772212,0.9648181276088252,0.9652156628900815,0.774053622345598,0.5425124363885871,0.021997621878715814,0.9389438943894389,0,3827,0.4511278195488722,0.8431095103138363,0.8097173379365633,0.4074074074074074,0.0,False,0.1976190476190476,0.6190476190476191,140
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B,0.9285419963138881,0.9174983382597787,0.941083936311288,0.9196960667461264,0.9373879258816498,0.017691859135523402,0.9237187127532777,0.9191616766467066,1678,1336,1616,13,0.9705882352941176,0.9365210222588624,0.9693486590038314,0.28656716417910433,0.05507246376811594,0.8849741222027777,0.014373779079700291,0.9414674361088211,0.9497114591920858,0.9237187127532777,0.9231227651966627,0.9445768772348033,0.9489471593166467,0.6452224698190511,0.5305944555587311,0.017043202536662704,0.8432017543859649,0,3753,0.28656716417910433,0.8660888890066775,0.8626029128638554,0.45723684210526316,0.0,False,0.27246376811594203,0.672463768115942,345
nvidia/Nemotron-120B-A12B,0.7868459866701181,0.7720922305014493,0.802661366990181,0.7461263408820024,0.8275656324582339,0.08143929157623153,0.7616209773539928,0.6905829596412556,1678,1338,1575,11,0.8823529411764706,0.7576257213520198,0.8879103282626101,0.49059689288634456,0.08571428571428572,0.7692128681535539,0.025052268753932187,0.7856553998351196,0.8021434460016488,0.7616209773539928,0.7777115613825983,0.8128724672228844,0.8581644815256257,0.7227679407509762,0.44630555952551093,0.02536662703131193,0.41666666666666663,0,3330,0.49059689288634456,0.8530853784033189,0.8432454222521022,0.5708683473389357,0.0,False,0.19918367346938776,0.7151020408163266,1225
openai/gpt-oss-120b,0.9091502653231522,0.8966324220854565,0.9199431597550838,0.9011768255884128,0.9171237050578915,0.015946879469478703,0.9106819553409776,0.8799076212471132,1657,1299,1444,30,0.9416058394160584,0.9286912751677853,0.927892234548336,0.3978779840848805,0.07422969187675069,0.8596920728301747,0.01725542290693196,0.9345637583892618,0.9437919463087249,0.9106819553409776,0.9094749547374774,0.9342184671092335,0.9420639710319855,0.725368149398967,0.5238336273971018,0.0697582243361078,0.8176733780760627,0,3364,0.3978779840848805,0.8644630047185348,0.8380306700439374,0.49523809523809526,0.0,False,0.18137254901960784,0.7443977591036414,476
qwen3.5-35b-a3b,0.9169764340892322,0.9059649304230339,0.9300415334044065,0.9072364502680167,0.9267164179104478,0.019479967642431095,0.9112567004169149,0.9259536275243081,1679,1337,1643,13,0.9562043795620438,0.9455894476504534,0.9753656658968437,0.52112676056338,0.15084388185654007,0.811359590565198,0.015616431847327951,0.9472382522671063,0.9530090684253916,0.9112567004169149,0.9041095890410958,0.935080405002978,0.9345840778241017,0.7961761237312859,0.5194905331696034,0.010305192231470472,0.8404605263157895,0,3796,0.52112676056338,0.7734596348530479,0.7219374414378789,0.5681818181818182,0.0,False,0.1729957805907173,0.6761603375527426,316
thinkingmachines/inkling,0.931309951952434,0.9186599913135839,0.9440033170183106,0.9291267942583732,0.9334931096464949,0.004366315388121711,0.9324162679425837,0.9241172051089407,1672,1331,1640,13,0.9485294117647058,0.9403973509933775,0.9735202492211839,0.24020887728459533,0.17674418604651163,0.9089158878504673,0.015642970028840627,0.9420529801324503,0.9478476821192053,0.9324162679425837,0.9264354066985646,0.9491626794258373,0.9470693779904307,0.5946647292527727,0.5308953341740227,0.014863258026159334,0.8123620309050773,0,3756,0.24020887728459533,0.9042003211964961,0.8738675639859625,0.4931972789115647,0.0,False,0.06356589147286822,0.7596899224806202,430
x-ai/grok-4.3,0.8695754804545854,0.8554647809742427,0.8857570561498054,0.8491872366044552,0.8899637243047158,0.040776487700260655,0.851896447922938,0.8689393939393939,1661,1320,1505,14,0.8880597014925373,0.8833333333333333,0.9803459119496856,0.5641025641025648,0.13913362701908957,0.7601185067393609,0.026891953486708378,0.8958333333333334,0.9083333333333333,0.851896447922938,0.856110776640578,0.885009030704395,0.9051776038531005,0.7853626478603803,0.4891363938021179,0.053111375346809354,0.7266666666666667,0,3495,0.5641025641025648,0.7421664309918953,0.6983424470084995,0.5025062656641603,0.0,False,0.21512481644640236,0.6457415565345082,454
zai-org/GLM-4.7,0.9031390550439977,0.8869123999446494,0.915548219397867,0.8918556085918854,0.9144225014961102,0.022566892904224756,0.8973747016706444,0.8916292974588939,1676,1338,1643,10,0.9411764705882353,0.9174917491749175,0.9665889665889665,0.3789682539682538,0.10177595628415301,0.8395140186915888,0.018876791889688608,0.9224422442244224,0.9323432343234324,0.8973747016706444,0.8955847255369929,0.9206443914081146,0.9287987271280828,0.7125650968187973,0.5141745573132706,0.012683313515655966,0.7766776677667767,0,3729,0.3789682539682538,0.8452062135281332,0.8174816695961309,0.49930843706777317,0.0,False,0.21584699453551912,0.6823770491803278,488
zai-org/GLM-5,0.917321024125516,0.9041045773327414,0.9281006590772918,0.9129263913824057,0.9217156568686262,0.008789265486220499,0.9180131657690006,0.9114778694673669,1671,1333,1607,13,0.948905109489051,0.9363110008271298,0.9613899613899614,0.2838196286472148,0.129136400322841,0.8635094339622642,0.017363471602100597,0.9396195202646815,0.9478908188585607,0.9180131657690006,0.9156193895870736,0.9419509275882705,0.943048075004987,0.6374739774113428,0.5261278572862592,0.02318668252080856,0.8234323432343235,0,3693,0.2838196286472148,0.856509021052533,0.8175803808512198,0.5625,0.0,False,0.1016949152542373,0.7691686844229217,413
zai-org/GLM-5.2,0.926262806456764,0.914544364687889,0.9377543663993537,0.9229964114832536,0.9295292014302742,0.006532789947020556,0.9282296650717703,0.9306706857573473,1672,1327,1599,16,0.9708029197080292,0.9560530679933665,0.9595728451563692,0.3317972350230417,0.19329073482428116,0.8462765168372646,0.013222044270224532,0.9585406301824212,0.9676616915422885,0.9282296650717703,0.9234449760765551,0.9515550239234449,0.9518540669856459,0.6836477140039916,0.533076217239204,0.024573919936583432,0.8990066225165563,0,3763,0.3317972350230417,0.7993655032610617,0.7677215968108642,0.46116504854368934,0.0,False,0.08466453674121406,0.7220447284345048,313
